_id,opportunityId,currentOpportunityStatus.name,currentOpportunityStatus.updatedAt,updated_at,factFindSent.date[0],updatedAt,deletedAt,assignedUserId[0],assignee[0].name,assignee[0].avatar,assignee[0].email,opportunityName,created_at,opportunityStatusHistory[0].oldStatus,opportunityStatusHistory[1].oldStatus,opportunityStatusHistory[2].oldStatus,opportunityStatusHistory[3].oldStatus,opportunityStatusHistory[4].oldStatus,opportunityStatusHistory[5].oldStatus,opportunityStatusHistory[6].oldStatus,opportunityStatusHistory[7].oldStatus,opportunityStatusHistory[8].oldStatus,opportunityStatusHistory[9].oldStatus,opportunityStatusHistory[10].oldStatus,opportunityStatusHistory[11].oldStatus,opportunityStatusHistory[12].oldStatus,opportunityStatusHistory[13].oldStatus,opportunityStatusHistory[14].oldStatus,opportunityStatusHistory[0].newStatus,opportunityStatusHistory[1].newStatus,opportunityStatusHistory[2].newStatus,opportunityStatusHistory[3].newStatus,opportunityStatusHistory[4].newStatus,opportunityStatusHistory[5].newStatus,opportunityStatusHistory[6].newStatus,opportunityStatusHistory[7].newStatus,opportunityStatusHistory[8].newStatus,opportunityStatusHistory[9].newStatus,opportunityStatusHistory[10].newStatus,opportunityStatusHistory[11].newStatus,opportunityStatusHistory[12].newStatus,opportunityStatusHistory[13].newStatus,opportunityStatusHistory[14].newStatus,opportunityStatusHistory[0].updateDate,opportunityStatusHistory[1].updateDate,opportunityStatusHistory[2].updateDate,opportunityStatusHistory[3].updateDate,opportunityStatusHistory[4].updateDate,opportunityStatusHistory[5].updateDate,opportunityStatusHistory[6].updateDate,opportunityStatusHistory[7].updateDate,opportunityStatusHistory[8].updateDate,opportunityStatusHistory[9].updateDate,opportunityStatusHistory[10].updateDate,opportunityStatusHistory[11].updateDate,opportunityStatusHistory[12].updateDate,opportunityStatusHistory[13].updateDate,opportunityStatusHistory[14].updateDate,opportunityStatusHistory[0].daysInOldStatus,opportunityStatusHistory[1].daysInOldStatus,opportunityStatusHistory[2].daysInOldStatus,opportunityStatusHistory[3].daysInOldStatus,opportunityStatusHistory[4].daysInOldStatus,opportunityStatusHistory[5].daysInOldStatus,opportunityStatusHistory[6].daysInOldStatus,opportunityStatusHistory[7].daysInOldStatus,opportunityStatusHistory[8].daysInOldStatus,opportunityStatusHistory[9].daysInOldStatus,opportunityStatusHistory[10].daysInOldStatus,opportunityStatusHistory[11].daysInOldStatus,opportunityStatusHistory[12].daysInOldStatus,opportunityStatusHistory[13].daysInOldStatus,opportunityStatusHistory[14].daysInOldStatus,opportunityStatusHistory[4].data.eventMeta.device,opportunityStatusHistory[0].data.eventMeta.device,opportunityStatusHistory[4].data.eventMeta.platform,opportunityStatusHistory[0].data.eventMeta.platform,opportunityStatusHistory[4].data.eventMeta.browser,opportunityStatusHistory[0].data.eventMeta.browser,broker.name,broker.avatar,broker.email,broker.phoneNo,brokerId,leadSourceId,loanAmount,opportunityInfo.emailAddress,opportunityInfo.fullName,createdAt,lcr.ffSent,opportunityStatusHistory[1].data.userAgentInfo.device,opportunityStatusHistory[2].data.userAgentInfo.device,opportunityStatusHistory[3].data.userAgentInfo.device,opportunityStatusHistory[4].data.userAgentInfo.device,opportunityStatusHistory[5].data.userAgentInfo.device,opportunityStatusHistory[6].data.userAgentInfo.device,opportunityStatusHistory[7].data.userAgentInfo.device,opportunityStatusHistory[0].data.userAgentInfo.device,opportunityStatusHistory[8].data.userAgentInfo.device,opportunityStatusHistory[12].data.userAgentInfo.device,opportunityStatusHistory[1].data.userAgentInfo.platform,opportunityStatusHistory[2].data.userAgentInfo.platform,opportunityStatusHistory[3].data.userAgentInfo.platform,opportunityStatusHistory[4].data.userAgentInfo.platform,opportunityStatusHistory[5].data.userAgentInfo.platform,opportunityStatusHistory[6].data.userAgentInfo.platform,opportunityStatusHistory[7].data.userAgentInfo.platform,opportunityStatusHistory[0].data.userAgentInfo.platform,opportunityStatusHistory[8].data.userAgentInfo.platform,opportunityStatusHistory[12].data.userAgentInfo.platform,opportunityStatusHistory[1].data.userAgentInfo.browser,opportunityStatusHistory[2].data.userAgentInfo.browser,opportunityStatusHistory[3].data.userAgentInfo.browser,opportunityStatusHistory[4].data.userAgentInfo.browser,opportunityStatusHistory[5].data.userAgentInfo.browser,opportunityStatusHistory[6].data.userAgentInfo.browser,opportunityStatusHistory[7].data.userAgentInfo.browser,opportunityStatusHistory[0].data.userAgentInfo.browser,opportunityStatusHistory[8].data.userAgentInfo.browser,opportunityStatusHistory[12].data.userAgentInfo.browser,currentOpportunityStatus.data.userAgentInfo.device,currentOpportunityStatus.data.userAgentInfo.platform,currentOpportunityStatus.data.userAgentInfo.browser,lcr.ffReceived,followUpEmailClickInfo.userAgentInfo.device,followUpEmailClickInfo.userAgentInfo.platform,followUpEmailClickInfo.userAgentInfo.browser,followUpEmailClickInfo.updatedAt,leadCategory,leadSegment,mercuryId,conversionPage,leadSource,applicantInitialLoginInfo.userAgentInfo.device,applicantInitialLoginInfo.userAgentInfo.platform,applicantInitialLoginInfo.userAgentInfo.browser,leadOriginatingPage,pluginName,pluginPageSlug,enquiryId,lcr.submitted,brokerName,ffSent,submitted,lcr.settled,broker,broker.mercuryId
61c3e354ebf9c800087b22ee,66a9da39fc86b20008942a0a,IS - Lead No answer,2023-01-05T07:37:34.162Z,2023-01-13T05:24:33.650Z,2023-01-05T07:37:34.162Z,2024-04-10T04:29:59.862Z,2024-08-01T05:37:12.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63bf8b41288d7566a58f2dc7,66aa00e6eaebc50008bfe255,CG_ACCEPTED_PRIMARY_APPLICANT,2023-02-27T17:35:23.000Z,2022-10-19T04:49:53.658Z,,2024-04-24T05:42:30.311Z,2024-08-01T05:37:11.524Z,eb96734b-87b5-4ac1-9e68-87557bd58e26,Archana Upreti,https://lh3.googleusercontent.com/a-/AOh14GhoxsjOBuWpmMr5L8JMPsLd5ZN3Ai7Wsq_OOXHRvQ=s96-c,archana.upreti@homeloanexperts.com.au,"Emmerich, Merritt",2022-10-19T04:49:53.658Z,,Lead,Fact Find Sent,Pending SAF,Fact Find Sent,Formally Approved,CG_ACCEPTED_PRIMARY_APPLICANT,,,,,,,,,Lead,Fact Find Sent,Pending SAF,Fact Find Sent,Formally Approved,CG_ACCEPTED_PRIMARY_APPLICANT,Testing status,,,,,,,,,2022-11-11T04:49:53.657Z,2022-11-13T02:39:53.657Z,2022-11-15T07:41:53.657Z,2022-12-03T08:33:45.198Z,2023-03-19T04:49:53.658Z,2023-02-27T17:28:05.000Z,2023-02-27T17:35:23.000Z,,,,,,,,,0,2,2,1,106,-19,0,,,,,,,,,mobile,,Android,,Android Browser,,Madhav Gautam,https://lh3.googleusercontent.com/a/AATXAJxHoDORvrdkSDxmCOEATCXk0JoU0YQQmak_9l7_=s96-c,madhav.g@homeloanexperts.com.au,12312312,f49d0918-2c44-430a-a984-c0a83891d969,6ff1e19a-e52c-11e2-8838-00155d0a3619,,somebody@gmail.com,timeline test new,2023-01-19T07:11:45.292Z,2023-01-19T07:12:23.843Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ff7396f07d3d60facdc877,66a9da383cc8b2000816e14f,Credit Guide Accepted By Primary Applicant,2023-03-02T10:19:05.305Z,,,2024-04-24T05:42:30.311Z,2024-08-06T06:24:40.402Z,,,,,,,,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,,,,,,,,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,Credit Guide Accepted By Primary Applicant,,,,,,,,2023-03-01T15:47:32.134Z,2023-03-02T01:31:41.695Z,2023-03-02T01:35:58.895Z,2023-03-02T01:38:08.158Z,2023-03-02T01:42:27.679Z,2023-03-02T02:29:50.514Z,2023-03-02T08:47:03.293Z,2023-03-02T10:19:05.305Z,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,desktop,,,,,Pratik Tuladhar,https://lh3.googleusercontent.com/a/AATXAJyGGqjyf4qO2e7ClATLXr1iTSbFq6R9lQ87HUbC=s96-c,pratik.t@homeloanexperts.com.au,test,4ca5b444-d994-475b-887d-b065b055677a,,280000,pratiktuladhar1@gmail.com,TestD uniquem TestD,2023-03-01T09:54:14.528Z,2023-03-01T09:57:08.958Z,desktop,desktop,desktop,desktop,desktop,desktop,desktop,,,,,,,,Linux,Linux,Linux,,,,,,,,Chrome,Chrome,Chrome,,,,desktop,Linux,Chrome,2024-06-19T09:21:06.189Z,,,,,,,,,,,,,,,,,,,,,,,
64006997f07d3d60fae4bdae,66a9d7df3cc8b2000816e14e,Fact Find Received,2023-03-03T08:43:04.928Z,,,2024-04-24T05:42:30.311Z,2024-08-06T06:24:39.571Z,,,,,,,,Fact Find Sent,,,,,,,,,,,,,,Fact Find Sent,Fact Find Received,Cancelled,,,,,,,,,,,,,2023-03-03T08:40:51.916Z,2023-03-03T08:43:04.928Z,2023-03-03T08:40:51.916Z,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,QA Test,https://lh3.googleusercontent.com/a/AItbvmkytWjYe84gRy2SJK2nzRthc-qG4wHf3qDdLiDd=s96-c,qatest@homeloanexperts.com.au,0414 540 253,c77e6087-2f56-44cb-abb2-69d63c1b234e,,120000,jarquez.hopper@foundtoo.com,Test123 Test123,2023-03-02T07:08:00.483Z,2023-03-03T08:40:55.053Z,desktop,,,,,,,,,,Windows,,,,,,,,,,Edge,,,,,,,,,,desktop,Windows,Edge,2024-06-19T09:21:06.189Z,desktop,,,2023-03-02T09:17:11.007Z,,,,,,,,,,,,,,,,,,,
64006b70f07d3d60fae4ec7a,66a9da3afe36bd000866dcd8,Fact Find Sent,2023-03-02T09:25:01.764Z,,,2023-03-02T09:25:04.503Z,2024-08-01T05:37:10.684Z,,,,,,,,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,,Fact Find Sent,Fact Find Received,Cancelled,,,,,,,,,,,,,2023-03-02T09:25:01.764Z,2023-03-02T09:25:01.764Z,2023-03-02T09:25:01.764Z,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641146d87a60d7194ce46356,63f87427398900000895a276,Fact Find Sent,2023-03-16T03:15:26.266Z,,,2024-04-24T05:42:30.311Z,,,,,,,,,Fact Find Sent,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,Fact Find Sent,Fact Find Sent,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,2023-03-15T04:17:25.941Z,2023-03-15T04:19:08.350Z,2023-03-15T04:45:05.041Z,2023-03-16T03:15:26.266Z,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,Jenish Manandhar,,madhav.g@homeloanexperts.com.au,,703e2edf-5d8c-402d-be76-a1743e1fcfd6,,,test@gmail.com,test test,2023-02-24T08:24:07.912Z,2023-03-16T03:15:29.656Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411716b7a60d7194ce8349f,63dc8e0aaa7b680008f9fb44,Fact Find Sent,2023-03-15T07:22:50.418Z,,,2024-04-24T05:42:30.311Z,,,,,,,,,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,,Fact Find Sent,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,,2023-03-15T07:19:05.049Z,2023-03-15T07:22:26.168Z,2023-03-15T07:22:50.418Z,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,QA Test,,qatest@homeloanexperts.com.au,,c77e6087-2f56-44cb-abb2-69d63c1b234e,,900000,rickSanchez@greenloop.com,Rick Sanchez,2023-02-03T04:31:06.471Z,2023-03-15T07:22:51.704Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Category1,Lead Segment 1,c8c10231-4ee0-47b3-9a37-d83341f35a77,,,,,,,,,,,,,,,,
64128a627a60d7194c0024e8,63bfd82e86eef20008d5a03a,Fact Find Sent,2023-03-16T03:17:54.515Z,,,2024-04-24T05:42:30.311Z,,,,,,,,,,,,,,,,,,,,,,,Fact Find Sent,,,,,,,,,,,,,,,2023-03-16T03:17:54.515Z,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,QA Test,,qatest@homeloanexperts.com.au,,c77e6087-2f56-44cb-abb2-69d63c1b234e,,,mortySanchez@greenloop.com,Morty Sanchez,2023-01-12T09:51:42.978Z,2023-03-16T03:17:55.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Category2,Lead Segment 2,407d8920-ceeb-4c33-8754-34efe1a8fea3,,,,,,,,,,,,,,,,
6412901c7a60d7194c00a683,6343c55ee6cb8b00090128ad,Fact Find Sent,2023-03-16T08:28:34.528Z,,,2024-04-24T05:42:30.311Z,,,,,,,,,Fact Find Sent,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,Fact Find Sent,Fact Find Sent,Fact Find Sent,Fact Find Sent,,,,,,,,,,,,2023-03-16T03:42:17.601Z,2023-03-16T08:09:49.922Z,2023-03-16T08:14:50.200Z,2023-03-16T08:28:34.528Z,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Jenish Manandhar,,madhav.g@homeloanexperts.com.au,,703e2edf-5d8c-402d-be76-a1743e1fcfd6,6d258e6c-70dc-4c27-ac78-2d2f924969c6,,cbr@gmail.com,cbrs middle auto,2022-10-10T07:10:22.917Z,2023-03-16T08:28:37.952Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Category3,Lead Segment 3,bd1c2461-2a0a-4864-b506-9dbec19db41e,,Orphan - Repeat Customer,,,,,,,,,,,,,,
642296307a60d7194c636617,638da0633fdb3f0008bb9e6c,Fact Find Sent,2023-03-28T07:24:29.665Z,,,2024-04-24T05:42:30.311Z,,,,,,,,,,,,,,,,,,,,,,,Fact Find Sent,,,,,,,,,,,,,,,2023-03-28T07:24:29.665Z,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,QA Test,,qatest@homeloanexperts.com.au,,c77e6087-2f56-44cb-abb2-69d63c1b234e,,,uqsxrfaviajv@jmeter.com,Sanish1670226011649-1 Jmeter-1,2022-11-05T07:40:19.929Z,2023-03-28T07:24:33.107Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Category4,,e514aafd-99c7-485e-96f6-263d8679f7d0,,,,,,,,,,,,,,,,
